id,StationName,StationCode,StationPinyin,StationAbb
@bjb,北京北,VAP,beijingbei,bjb
0@bjd,北京东,BOP,beijingdong,bjd
1@bji,北京,BJP,beijing,bj
2@bjn,北京南,VNP,beijingnan,bjn
3@bjx,北京大兴,IPP,beijingdaxing,bjdx
4@bjx,北京西,BXP,beijingxi,bjx
5@bjy,北京朝阳,IFP,beijingchaoyang,bjcy
6@cqb,重庆北,CUW,chongqingbei,cqb
8@cqi,重庆,CQW,chongqing,cq
9@cqn,重庆南,CRW,chongqingnan,cqn
11@cqx,重庆西,CXW,chongqingxi,cqx
12@sha,上海,SHH,shanghai,sh
13@shn,上海南,SNH,shanghainan,shn
14@shq,上海虹桥,AOH,shanghaihongqiao,shhq
15@shx,上海西,SXH,shanghaixi,shx
16@tjb,天津北,TBP,tianjinbei,tjb
17@tji,天津,TJP,tianjin,tj
18@tjn,天津南,TIP,tianjinnan,tjn
19@tjx,天津西,TXP,tianjinxi,tjx
20@bji,滨江,BJB,binjiang,bj
21@bla,百浪,BRZ,bailang,bl
22@bmq,班猫箐,BNM,banmaoqing,bmq
23@byi,北营,BIV,beiying,by
24@cch,长春,CCT,changchun,cc
25@ccn,长春南,CET,changchunnan,ccn
26@ccx,长春西,CRT,changchunxi,ccx
28@cdd,成都东,ICW,chengdudong,cdd
29@cdn,成都南,CNW,chengdunan,cdn
31@cdu,成都,CDW,chengdu,cd
32@cdx,成都西,CMW,chengduxi,cdx
33@cgy,陈官营,CAJ,chenguanying,cgy
34@csh,长沙,CSQ,changsha,cs
35@csn,长沙南,CWQ,changshanan,csn
36@csx,长沙西,RXQ,changshaxi,csx
37@czh,常庄,CVK,changzhuang,cz
38@dch,大成,DCT,dacheng,dc
39@dni,大拟,DNZ,dani,dn
40@dsp,读书铺,DPM,dushupu,dsp
41@dwt,大王滩,DZZ,dawangtan,dwt
42@dyu,大元,DYZ,dayuan,dy
43@fsc,丰水村,FSJ,fengshuicun,fsc
44@fzh,福州,FZS,fuzhou,fz
46@fzn,福州南,FYS,fuzhounan,fzn
48@gcd,甘草店,GDJ,gancaodian,gcd
49@gjz,孤家子,GKT,gujiazi,gjz
50@gnw,广南卫,GNM,guangnanwei,gnw
51@gya,贵阳,GIW,guiyang,gy
53@gyb,贵阳北,KQW,guiyangbei,gyb
54@gyd,贵阳东,KEW,guiyangdong,gyd
55@gzb,广州北,GBQ,guangzhoubei,gzb
56@gzd,广州东,GGQ,guangzhoudong,gzd
57@gzh,广州,GZQ,guangzhou,gz
58@gzn,广州南,IZQ,guangzhounan,gzn
59@gzx,广州西,GXQ,guangzhouxi,gzx
60@heb,哈尔滨北,HTB,haerbinbei,hebb
61@heb,哈尔滨,HBB,haerbin,heb
63@hed,哈尔滨东,VBB,haerbindong,hebd
64@hex,哈尔滨西,VAB,haerbinxi,hebx
65@hfc,合肥北城,COH,hefeibeicheng,hfbc
66@hfe,合肥,HFH,hefei,hf
67@hfn,合肥南,ENH,hefeinan,hfn
69@hgt,皇姑屯,HTT,huanggutun,hgt
70@hhd,呼和浩特东,NDC,huhehaotedong,hhhtd
71@hht,呼和浩特,HHC,huhehaote,hhht
72@hkd,海口东,HMQ,haikoudong,hkd
74@hko,海口,VUQ,haikou,hk
75@hzd,杭州东,HGH,hangzhoudong,hzd
76@hzh,杭州,HZH,hangzhou,hz
77@hzn,杭州南,XHH,hangzhounan,hzn
78@jmc,金马村,JMM,jinmacun,jmc
79@jna,济南,JNK,jinan,jn
81@jnd,济南东,MDK,jinandong,jnd
82@jnx,济南西,JGK,jinanxi,jnx
84@kmi,昆明,KMM,kunming,km
85@kmn,昆明南,KOM,kunmingnan,kmn
86@ljl,蔺家楼,ULK,linjialou,ljl
87@lqs,龙泉寺,UQJ,longquansi,lqs
88@lsa,拉萨,LSO,lasa,ls
89@lsc,乐善村,LUM,leshancun,lsc
90@lsp,林盛堡,LBT,linshengpu,lsp
91@ltx,骆驼巷,LTJ,luotuoxiang,ltx
92@lzd,兰州东,LVJ,lanzhoudong,lzd
93@lzh,兰州,LZJ,lanzhou,lz
94@lzq,兰州新区,LQJ,lanzhouxinqu,lzxq
95@lzx,兰州西,LAJ,lanzhouxi,lzx
96@msz,茂舍祖,MOM,maoshezu,msz
98@nch,南昌,NCG,nanchang,nc
99@ncu,宁村,NCZ,ningcun,nc
100@ncx,南昌西,NXG,nanchangxi,ncx
101@nji,南京,NJH,nanjing,nj
102@njn,南京南,NKH,nanjingnan,njn
103@nlu,那罗,ULZ,naluo,nl
104@nnd,南宁东,NFZ,nanningdong,nnd
105@nni,南宁,NNZ,nanning,nn
106@nnx,南宁西,NXZ,nanningxi,nnx
107@npu,那铺,NPZ,napu,np
108@nqu,暖泉,NQJ,nuanquan,nq
109@pdx,坡底下,PXJ,podixia,pdx
110@qdi,七甸,QDM,qidian,qd
111@sby,世博园,ZWT,shiboyuan,sby
112@sjb,石家庄北,VVP,shijiazhuangbei,sjzb
113@sjd,石家庄东,SXP,shijiazhuangdong,sjzd
114@sjt,邵家堂,SJJ,shaojiatang,sjt
115@sjz,石家庄,SJP,shijiazhuang,sjz
116@sjz,施家嘴,SHM,shijiazui,sjz
117@sya,沈阳,SYT,shenyang,sy
118@syb,沈阳北,SBT,shenyangbei,syb
119@syd,沈阳东,SDT,shenyangdong,syd
120@syn,沈阳南,SOT,shenyangnan,syn
121@syu,水源,OYJ,shuiyuan,sy
122@syx,沈阳西,OOT,shenyangxi,syx
123@syz,桑园子,SAJ,sangyuanzi,syz
124@tyb,太原北,TBV,taiyuanbei,tyb
125@tyd,太原东,TDV,taiyuandong,tyd
126@tyn,太原南,TNV,taiyuannan,tyn
127@tyu,太原,TYV,taiyuan,ty
128@wha,武汉,WHN,wuhan,wh
129@whd,武汉东,LFN,wuhandong,whd
